ID,Movie,Year,Genres,Rating
100351,Black Panther,2018,Action/Adventure,5
100352,Black Panther,2018,Action/Adventure,5
100353,Black Panther,2018,Action/Adventure,5
100354,Black Panther,2018,Action/Adventure,5
100355,Black Panther,2018,Action/Adventure,5
100356,Black Panther,2018,Action/Adventure,5
100357,Black Panther,2018,Action/Adventure,5
100358,Black Panther,2018,Action/Adventure,5
100359,Black Panther,2018,Action/Adventure,5
100360,Black Panther,2018,Action/Adventure,5
100361,Black Panther,2018,Action/Adventure,4
100362,Black Panther,2018,Action/Adventure,4
100363,Black Panther,2018,Action/Adventure,4
100364,Black Panther,2018,Action/Adventure,4
100365,Black Panther,2018,Action/Adventure,4
100366,Black Panther,2018,Action/Adventure,4
100367,Black Panther,2018,Action/Adventure,4
100368,Black Panther,2018,Action/Adventure,4
100369,Black Panther,2018,Action/Adventure,4
100370,Black Panther,2018,Action/Adventure,4
100371,Black Panther,2018,Action/Adventure,3
100372,Black Panther,2018,Action/Adventure,3
100373,Black Panther,2018,Action/Adventure,3
100374,Black Panther,2018,Action/Adventure,3
100375,Black Panther,2018,Action/Adventure,3
100376,Black Panther,2018,Action/Adventure,3
100377,Black Panther,2018,Action/Adventure,3
100378,Black Panther,2018,Action/Adventure,3
100379,Black Panther,2018,Action/Adventure,3
100380,Black Panther,2018,Action/Adventure,3
100381,Black Panther,2018,Action/Adventure,2
100382,Black Panther,2018,Action/Adventure,2
100383,Black Panther,2018,Action/Adventure,2
100384,Black Panther,2018,Action/Adventure,2
100385,Black Panther,2018,Action/Adventure,2
100386,Black Panther,2018,Action/Adventure,2
100387,Black Panther,2018,Action/Adventure,2
100388,Black Panther,2018,Action/Adventure,2
100389,Black Panther,2018,Action/Adventure,2
100390,Black Panther,2018,Action/Adventure,2
100391,Black Panther,2018,Action/Adventure,1
100392,Black Panther,2018,Action/Adventure,1
100393,Black Panther,2018,Action/Adventure,1
100394,Black Panther,2018,Action/Adventure,1
100395,Black Panther,2018,Action/Adventure,1
100396,Black Panther,2018,Action/Adventure,1
100397,Black Panther,2018,Action/Adventure,1
100398,Black Panther,2018,Action/Adventure,1
100399,Black Panther,2018,Action/Adventure,1
100400,Black Panther,2018,Action/Adventure,1
